@relation ulcer_classification

@attribute color_bgr_b_mean real
@attribute color_bgr_g_mean real
@attribute color_bgr_r_mean real
@attribute color_bgr_b_variance real
@attribute color_bgr_g_variance real
@attribute color_bgr_r_variance real
@attribute color_bgr_b_centroid real
@attribute color_bgr_g_centroid real
@attribute color_bgr_r_centroid real
@attribute color_bgr_b_asymetry real
@attribute color_bgr_g_asymetry real
@attribute color_bgr_r_asymetry real
@attribute color_bgr_b_intensity_1 real
@attribute color_bgr_g_intensity_1 real
@attribute color_bgr_r_intensity_1 real
@attribute color_bgr_b_intensity_2 real
@attribute color_bgr_g_intensity_2 real
@attribute color_bgr_r_intensity_2 real
@attribute color_bgr_b_frequency_1 real
@attribute color_bgr_g_frequency_1 real
@attribute color_bgr_r_frequency_1 real
@attribute color_bgr_b_frequency_2 real
@attribute color_bgr_g_frequency_2 real
@attribute color_bgr_r_frequency_2 real
@attribute color_lab_l_mean real
@attribute color_lab_a_mean real
@attribute color_lab_b_mean real
@attribute color_lab_l_variance real
@attribute color_lab_a_variance real
@attribute color_lab_b_variance real
@attribute color_lab_l_centroid real
@attribute color_lab_a_centroid real
@attribute color_lab_b_centroid real
@attribute color_lab_l_asymetry real
@attribute color_lab_a_asymetry real
@attribute color_lab_b_asymetry real
@attribute color_lab_l_intensity_1 real
@attribute color_lab_a_intensity_1 real
@attribute color_lab_b_intensity_1 real
@attribute color_lab_l_intensity_2 real
@attribute color_lab_a_intensity_2 real
@attribute color_lab_b_intensity_2 real
@attribute color_lab_l_frequency_1 real
@attribute color_lab_a_frequency_1 real
@attribute color_lab_b_frequency_1 real
@attribute color_lab_l_frequency_2 real
@attribute color_lab_a_frequency_2 real
@attribute color_lab_b_frequency_2 real
@attribute color_luv_l_mean real
@attribute color_luv_u_mean real
@attribute color_luv_v_mean real
@attribute color_luv_l_variance real
@attribute color_luv_u_variance real
@attribute color_luv_v_variance real
@attribute color_luv_l_centroid real
@attribute color_luv_u_centroid real
@attribute color_luv_v_centroid real
@attribute color_luv_l_asymetry real
@attribute color_luv_u_asymetry real
@attribute color_luv_v_asymetry real
@attribute color_luv_l_intensity_1 real
@attribute color_luv_u_intensity_1 real
@attribute color_luv_v_intensity_1 real
@attribute color_luv_l_intensity_2 real
@attribute color_luv_u_intensity_2 real
@attribute color_luv_v_intensity_2 real
@attribute color_luv_l_frequency_1 real
@attribute color_luv_u_frequency_1 real
@attribute color_luv_v_frequency_1 real
@attribute color_luv_l_frequency_2 real
@attribute color_luv_u_frequency_2 real
@attribute color_luv_v_frequency_2 real
@attribute color_norm_b_mean real
@attribute color_norm_g_mean real
@attribute color_norm_r_mean real
@attribute color_norm_b_variance real
@attribute color_norm_g_variance real
@attribute color_norm_r_variance real
@attribute color_norm_b_centroid real
@attribute color_norm_g_centroid real
@attribute color_norm_r_centroid real
@attribute color_norm_b_asymetry real
@attribute color_norm_g_asymetry real
@attribute color_norm_r_asymetry real
@attribute color_norm_b_intensity_1 real
@attribute color_norm_g_intensity_1 real
@attribute color_norm_r_intensity_1 real
@attribute color_norm_b_intensity_2 real
@attribute color_norm_g_intensity_2 real
@attribute color_norm_r_intensity_2 real
@attribute color_norm_b_frequency_1 real
@attribute color_norm_g_frequency_1 real
@attribute color_norm_r_frequency_1 real
@attribute color_norm_b_frequency_2 real
@attribute color_norm_g_frequency_2 real
@attribute color_norm_r_frequency_2 real
@attribute haralick_bgr_b_contrast real
@attribute haralick_bgr_b_energy real
@attribute haralick_bgr_b_entropy real
@attribute haralick_bgr_b_homogeneity real
@attribute haralick_bgr_b_correlation real
@attribute haralick_bgr_g_contrast real
@attribute haralick_bgr_g_energy real
@attribute haralick_bgr_g_entropy real
@attribute haralick_bgr_g_homogeneity real
@attribute haralick_bgr_g_correlation real
@attribute haralick_bgr_r_contrast real
@attribute haralick_bgr_r_energy real
@attribute haralick_bgr_r_entropy real
@attribute haralick_bgr_r_homogeneity real
@attribute haralick_bgr_r_correlation real
@attribute haralick_lab_a_contrast real
@attribute haralick_lab_a_energy real
@attribute haralick_lab_a_entropy real
@attribute haralick_lab_a_homogeneity real
@attribute haralick_lab_a_correlation real
@attribute haralick_lab_b_contrast real
@attribute haralick_lab_b_energy real
@attribute haralick_lab_b_entropy real
@attribute haralick_lab_b_homogeneity real
@attribute haralick_lab_b_correlation real
@attribute haralick_luv_u_contrast real
@attribute haralick_luv_u_energy real
@attribute haralick_luv_u_entropy real
@attribute haralick_luv_u_homogeneity real
@attribute haralick_luv_u_correlation real
@attribute haralick_luv_v_contrast real
@attribute haralick_luv_v_energy real
@attribute haralick_luv_v_entropy real
@attribute haralick_luv_v_homogeneity real
@attribute haralick_luv_v_correlation real
@attribute haralick_bgr_bg_contrast real
@attribute haralick_bgr_bg_energy real
@attribute haralick_bgr_bg_entropy real
@attribute haralick_bgr_bg_homogeneity real
@attribute haralick_bgr_bg_correlation real
@attribute haralick_bgr_br_contrast real
@attribute haralick_bgr_br_energy real
@attribute haralick_bgr_br_entropy real
@attribute haralick_bgr_br_homogeneity real
@attribute haralick_bgr_br_correlation real
@attribute haralick_bgr_gr_contrast real
@attribute haralick_bgr_gr_energy real
@attribute haralick_bgr_gr_entropy real
@attribute haralick_bgr_gr_homogeneity real
@attribute haralick_bgr_gr_correlation real
@attribute haralick_lab_ab_contrast real
@attribute haralick_lab_ab_energy real
@attribute haralick_lab_ab_entropy real
@attribute haralick_lab_ab_homogeneity real
@attribute haralick_lab_ab_correlation real
@attribute haralick_luv_uv_contrast real
@attribute haralick_luv_uv_energy real
@attribute haralick_luv_uv_entropy real
@attribute haralick_luv_uv_homogeneity real
@attribute haralick_luv_uv_correlation real
@attribute lbph_bgr_b_mean real
@attribute lbph_bgr_b_variance real
@attribute lbph_bgr_b_entropy real
@attribute lbph_bgr_b_energy real
@attribute lbph_bgr_g_mean real
@attribute lbph_bgr_g_variance real
@attribute lbph_bgr_g_entropy real
@attribute lbph_bgr_g_energy real
@attribute lbph_bgr_r_mean real
@attribute lbph_bgr_r_variance real
@attribute lbph_bgr_r_entropy real
@attribute lbph_bgr_r_energy real
@attribute wavelet_bgr_b_3_lh_entropy real
@attribute wavelet_bgr_b_3_hh_entropy real
@attribute wavelet_bgr_b_3_hl_entropy real
@attribute wavelet_bgr_b_3_lh_energy real
@attribute wavelet_bgr_b_3_hh_energy real
@attribute wavelet_bgr_b_3_hl_energy real
@attribute wavelet_bgr_g_3_lh_entropy real
@attribute wavelet_bgr_g_3_hh_entropy real
@attribute wavelet_bgr_g_3_hl_entropy real
@attribute wavelet_bgr_g_3_lh_energy real
@attribute wavelet_bgr_g_3_hh_energy real
@attribute wavelet_bgr_g_3_hl_energy real
@attribute wavelet_bgr_r_3_lh_entropy real
@attribute wavelet_bgr_r_3_hh_entropy real
@attribute wavelet_bgr_r_3_hl_entropy real
@attribute wavelet_bgr_r_3_lh_energy real
@attribute wavelet_bgr_r_3_hh_energy real
@attribute wavelet_bgr_r_3_hl_energy real
@attribute classification {ULCER,NON_ULCER}

@data
0.739012,0.691167,0.861938,0.083969,-0.230022,-0.47027,0.87013,0.756906,0.893048,0.109927,-0.707327,-0.228215,0.836478,0.726776,0.968254,0.863946,0.762712,0.827027,-0.192308,-0.647059,-0.57377,-0.708333,-0.57377,-0.290323,0.762602,-0.55753,0.09152,-0.140503,-0.719047,-0.654119,0.821053,-0.55,-0.090909,-0.61204,-0.195646,0.265414,0.945652,-0.641026,0.030303,0.805405,-0.641026,0.0,-0.72549,-0.072848,-0.503268,-0.671642,-0.051948,-0.411043,0.762906,-0.498576,0.402687,-0.141072,-0.618451,-0.57572,0.820106,-0.545455,0.222222,-0.533724,-0.222273,-0.236688,0.874346,-0.590909,0.302326,0.632432,-0.227273,0.421053,-0.672727,-0.367647,-0.52439,-0.525424,-0.618421,-0.604938,0.161757,0.773653,-0.796827,-0.85974,-0.962227,-0.911925,0.195122,0.791667,-0.75,0.079643,0.295834,-0.452808,0.119048,0.791667,-0.728155,0.287671,0.75,-0.752577,-0.392857,0.135135,-0.388889,-0.481013,0.130435,-0.594595,-0.518371,-0.519063,0.621294,-0.085375,0.688303,-0.512853,-0.652706,0.687472,-0.162369,0.863388,-0.562349,-0.51973,0.594942,-0.003977,0.653958,-0.673346,-0.450801,-0.064819,0.36218,-0.191832,-0.723138,-0.644552,0.192275,0.338224,-0.061427,-0.737119,-0.487341,-0.008,0.299723,-0.221446,-0.402918,-0.633092,0.275834,0.144143,0.01443,-0.515669,-0.591756,0.590408,-0.123987,0.902843,-0.538518,-0.472549,0.562962,-0.025504,0.868579,-0.536028,-0.520065,0.552404,-0.065562,0.968906,-0.702709,-0.386946,-0.119847,0.384457,-0.12908,-0.56588,-0.581812,0.167604,0.235037,-0.09751,-1.0,-0.719548,0.231927,-0.529622,-0.952153,-0.264314,0.369192,-0.405806,-0.752299,-0.202977,0.571919,-0.26421,0.497966,0.497966,0.497966,-0.11684,-0.11684,0.077745,0.497966,0.497966,0.497966,-0.168104,-0.168104,0.164658,0.497966,0.497966,0.497966,0.003743,0.003743,-0.124802,ULCER
-0.085784,-0.095534,0.4216,0.184133,0.039957,-0.598384,-0.220779,-0.19337,0.368984,0.134323,-0.743209,-0.284205,-0.257862,-0.224044,0.396825,-0.210884,-0.152542,0.372973,-0.384615,-0.411765,-0.311475,-0.583333,-0.57377,-0.290323,0.121194,0.190711,0.282573,-0.038558,0.468705,-0.25689,0.042105,0.35,0.333333,-0.62471,-0.135837,0.267745,0.032609,0.333333,-0.151515,0.113514,0.230769,0.375,-0.45098,-0.496689,-0.843137,-0.761194,-0.714286,-0.521472,0.120702,0.215279,0.343948,-0.036785,0.87744,-0.501781,0.047619,0.363636,0.388889,-0.549881,-0.192928,-0.251002,0.005236,0.454545,0.069767,-0.027027,0.5,0.263158,-0.490909,-0.647059,-0.841463,-0.457627,-0.473684,-0.45679,-0.112897,0.312635,-0.349861,-0.421796,-0.54684,-0.298036,-0.195122,0.25,-0.211538,0.05927,0.14297,-0.129765,-0.214286,0.291667,-0.203883,0.315068,0.15,-0.216495,-0.571429,-0.502703,-0.75,-0.974684,-0.51087,-0.675676,-0.307574,-0.637998,0.739952,-0.354615,-0.192245,-0.251777,-0.621484,0.76199,-0.360487,-0.107347,-0.383175,-0.625251,0.71271,-0.306467,0.110268,-0.041698,-0.749782,0.553768,-0.199142,-0.212703,-0.611264,-0.807337,0.504952,-0.006972,-0.165602,-0.277399,-0.794619,0.610621,-0.276281,-0.213806,-0.499439,-0.660196,0.363758,-0.009961,-0.128153,-0.280243,-0.61315,0.713629,-0.357562,-0.091648,-0.342208,-0.612982,0.728519,-0.317052,0.084449,-0.313302,-0.620078,0.766748,-0.320208,0.142755,-0.375957,-0.736017,0.387935,-0.077954,-0.189915,-0.275112,-0.786059,0.570133,-0.127423,-0.16867,-0.117783,0.027879,0.186722,0.06766,-0.137023,0.18696,0.183768,0.079492,0.095358,0.215067,0.437929,0.228028,0.400817,0.400817,0.400817,-0.005221,-0.005221,0.288134,0.400817,0.400817,0.400817,0.068186,0.068186,0.268191,0.400817,0.400817,0.400817,0.20201,0.20201,-0.300117,ULCER
0.718207,0.697137,0.811082,-0.081177,-0.222801,-0.023391,0.519481,0.535912,0.647059,0.246473,-0.688912,-0.136748,0.484277,0.879781,0.724868,0.931973,0.819209,0.686486,-0.5,-0.529412,-0.672131,-0.625,-0.606557,-0.645161,0.75347,-0.677564,0.110846,0.022988,-0.910875,-0.792753,0.6,-0.65,0.151515,-0.601978,-0.033807,0.264799,0.98913,-0.641026,0.090909,0.913514,-0.641026,0.0625,-0.568627,0.258278,-0.320261,-0.552239,0.272727,-0.239264,0.753887,-0.604793,0.450168,0.007647,-0.916218,-0.723546,0.608466,-0.590909,0.5,-0.474932,-0.236267,-0.266655,0.895288,-0.636364,0.348837,0.621622,-0.636364,0.526316,-0.636364,0.014706,-0.256098,-0.491525,0.118421,-0.555556,0.164375,0.829582,-0.826389,-0.930116,-0.979213,-0.980845,0.170732,0.791667,-0.769231,0.107218,-1.0,-0.141047,0.02381,0.833333,-0.68932,0.315068,0.8,-0.814433,-0.380952,0.491892,0.013889,-0.189873,0.48913,0.040541,-0.435073,-0.661407,0.752142,-0.358058,0.594939,-0.430703,-0.629244,0.708386,-0.354652,0.781505,-0.413305,-0.631585,0.831063,-0.301553,0.527131,-0.788151,-0.282567,-0.226974,0.412686,-0.257875,-0.752137,-0.563612,0.110884,0.25564,-0.116348,-0.875369,-0.258086,-0.262068,0.416995,-0.288905,-0.41257,-0.450043,0.150223,0.12035,-0.040672,-0.432932,-0.653614,0.716198,-0.356351,0.808813,-0.425101,-0.597986,0.740009,-0.316351,0.741396,-0.422557,-0.540231,0.630576,-0.314716,0.848071,-0.767182,-0.372744,-0.092443,0.366507,-0.18978,-0.669238,-0.33928,-0.04727,0.279935,-0.158482,0.141844,0.572379,0.143305,0.352543,-0.023368,0.721928,0.241587,0.263107,0.113681,0.778302,0.217532,0.366513,0.45607,0.45607,0.45607,-0.085367,-0.085367,0.377011,0.45607,0.45607,0.45607,0.005339,0.005339,0.304642,0.45607,0.45607,0.45607,0.185185,0.185185,-0.018739,ULCER
-0.518992,-0.554806,0.020549,-0.101293,0.111902,-0.322316,-0.662338,-0.679558,-0.069519,0.141969,-0.711829,-0.258984,-0.660377,-0.36612,-0.015873,-0.55102,-0.367232,0.048649,-0.576923,-0.607843,-0.377049,-0.583333,-0.639344,-0.516129,-0.306493,0.421734,0.20673,0.290246,-0.34647,-0.692543,-0.410526,0.55,0.212121,-0.604742,-0.14168,0.248759,-0.347826,-0.128205,0.151515,-0.135135,0.435897,0.125,-0.72549,-1.0,-0.281046,-0.671642,-0.298701,-0.202454,-0.307942,0.274736,0.111014,0.280798,-0.567551,-0.846722,-0.407407,0.363636,0.055556,-0.492737,-0.197437,-0.377506,-0.256545,0.318182,0.116279,-0.145946,0.318182,0.421053,-0.636364,-0.426471,0.317073,-0.491525,-0.276316,-0.987654,-0.284328,-0.172755,0.025561,-0.259489,0.751868,0.427692,-0.146341,0.083333,-0.173077,0.058374,0.146871,-0.131472,-0.142857,0.041667,-0.242718,-0.09589,0.0,-0.051546,-0.690476,-0.718919,-0.888889,-0.835443,-0.663043,-0.837838,0.676495,-0.658248,0.914656,-0.365491,-0.294271,0.837587,-0.709105,1.0,-0.382106,-0.27659,0.576608,-0.579737,0.876781,-0.218055,0.21662,0.526264,-0.711678,0.259329,0.043711,0.204344,-0.368284,-0.618432,0.075613,0.293368,0.215328,-0.249261,-0.621406,0.134004,0.156147,0.173499,-0.645342,-0.091002,-0.442152,0.613017,0.243016,0.755402,-0.613567,0.766709,-0.373825,-0.237741,0.630736,-0.595903,0.903419,-0.278094,0.101275,0.715389,-0.643643,0.974507,-0.286966,0.125662,0.001388,-0.652332,0.103981,0.201237,0.209741,-0.314922,-0.342019,-0.148705,0.410408,0.210109,0.428799,0.721927,0.369109,0.799978,0.440837,0.660399,0.428856,0.797174,0.565957,0.627547,0.621989,0.880827,0.669098,0.669098,0.669098,0.208052,0.208052,0.291226,0.669098,0.669098,0.669098,0.258045,0.258045,0.459515,0.669098,0.669098,0.669098,0.513312,0.513312,-0.254595,ULCER
0.798126,0.763668,0.915923,-0.21202,-0.085211,-0.430129,0.909091,0.845304,0.967914,0.223803,-0.687203,-0.169869,0.937107,0.868852,0.820106,0.755102,0.887006,1.0,-0.576923,-0.686275,-0.57377,-0.5,-0.606557,-0.387097,0.823253,-0.607194,0.131456,-0.014505,-0.701634,-0.9124,0.673684,-0.5,0.090909,-0.599767,-0.167692,0.327395,0.826087,-0.692308,0.212121,0.751351,-0.692308,0.1875,-0.647059,-0.192053,0.228758,-0.61194,-0.168831,0.276074,0.82382,-0.529841,0.468279,-0.02719,-0.793938,-0.861129,0.883598,-0.545455,0.444444,-0.469691,-0.233655,-0.183726,0.801047,-0.545455,0.488372,0.935135,-0.545455,0.421053,-0.636364,-0.279412,-0.158537,-0.457627,-0.144737,-0.17284,0.162161,0.799905,-0.809513,-0.960966,-0.947804,-0.960013,0.146341,0.833333,-0.75,0.066084,0.253712,-0.284278,0.071429,0.791667,-0.68932,0.260274,0.75,-0.814433,0.047619,0.145946,0.333333,-0.012658,0.141304,0.351351,-0.697642,-0.557359,0.595307,-0.075946,0.662288,-0.685077,-0.672427,0.706053,-0.181935,0.848397,-0.748247,-0.514729,0.524089,0.02356,0.611409,-0.76649,-0.471564,0.020567,0.423577,-0.249131,-0.800366,-0.414608,-0.071966,0.325856,-0.113143,-0.858795,-0.187755,-0.137997,0.448412,-0.276127,-0.528844,-0.424622,0.048816,0.134688,-0.037262,-0.691487,-0.588423,0.581799,-0.129099,0.880922,-0.720824,-0.502953,0.539711,-0.006752,0.828602,-0.714655,-0.491879,0.489561,-0.061855,0.934626,-0.786523,-0.383725,-0.102451,0.408767,-0.183693,-0.705168,-0.278834,-0.032449,0.302812,-0.150616,-0.161654,0.285726,0.302636,0.114058,-0.096282,0.418739,0.289056,0.180925,0.064714,0.379383,0.477438,0.282883,0.45607,0.45607,0.45607,-0.388125,-0.388125,-0.414981,0.45607,0.45607,0.45607,-0.393577,-0.393577,-0.322387,0.45607,0.45607,0.45607,-0.384797,-0.384797,-0.668105,ULCER
-1.0,-0.951403,-0.33633,-0.781657,-0.798621,-0.597241,-1.0,-0.933702,-0.326203,-0.189725,-0.78735,-0.260376,-1.0,-0.923497,-0.248677,-1.0,-0.943503,-0.362162,0.153846,0.254902,-0.639344,-0.5,-0.311475,-0.387097,-0.686602,0.555045,0.486281,-0.644256,-0.59274,-0.757538,-0.684211,0.55,0.454545,-0.611636,-0.160923,0.274209,-0.695652,0.487179,0.515152,-0.675676,0.487179,0.5,-0.72549,-0.390728,-0.477124,-0.373134,-0.363636,-0.386503,-0.688556,0.231848,0.080586,-0.64911,-0.326103,-0.956058,-0.693122,0.181818,0.0,-0.524875,-0.203299,-0.408154,-0.612565,0.181818,0.116279,-0.740541,0.590909,0.0,-0.272727,-0.588235,-0.04878,-0.389831,-0.894737,-0.061728,-1.0,-1.0,1.0,0.330888,0.465819,0.899096,-1.0,-1.0,1.0,0.054835,0.142061,-0.12746,-1.0,-1.0,1.0,-0.753425,-0.3,1.0,-0.809524,-0.740541,-0.958333,-0.962025,-1.0,-0.891892,-0.518284,-0.352488,0.242261,-0.324809,-1.0,-0.541232,-0.32596,0.212206,-0.290845,-0.99031,-0.461387,-0.717387,0.707813,-0.531034,-0.67235,-0.346691,-0.770105,0.554378,-0.407088,-0.443115,-0.424145,-0.826312,0.636612,-0.464539,-0.423557,-0.25363,-0.857042,0.705486,-0.607787,-0.471954,-0.866667,-0.344656,0.092675,-0.081116,-0.437992,-0.529525,-0.277752,0.195111,-0.307779,-1.0,-0.492219,-0.507876,0.474063,-0.414883,-0.81589,-0.503846,-0.482089,0.484691,-0.397017,-0.791011,-0.392254,-0.834287,0.63757,-0.422035,-0.433524,-0.409135,-0.606842,0.474302,-0.326842,-0.453952,0.185996,0.814566,0.804303,0.123405,0.053404,0.895038,0.944638,0.052951,0.236804,1.0,0.584161,0.168811,0.142907,0.142907,0.142907,-0.5239,-0.5239,0.073395,0.142907,0.142907,0.142907,-0.519659,-0.519659,0.086282,0.142907,0.142907,0.142907,-0.168778,-0.168778,-0.187343,ULCER
0.553548,0.734489,0.809719,-0.185741,-0.086991,-0.497917,0.675325,0.823204,0.860963,0.26856,-0.68796,-0.19,0.383648,0.836066,0.724868,0.646259,0.841808,0.902703,-0.346154,-0.411765,-0.57377,-0.875,-0.377049,-0.483871,0.769966,-0.861906,0.571132,-0.022383,-0.695046,-0.864168,0.842105,-0.9,0.515152,-0.591645,-0.105463,0.297875,0.73913,-0.794872,0.575758,0.881081,-0.794872,0.5625,-0.764706,-0.245033,-0.137255,-0.373134,-0.220779,-0.067485,0.770225,-0.638199,1.0,-0.0356,-0.74048,-0.840135,0.84127,-0.681818,1.0,-0.452201,-0.192286,-0.155783,0.853403,-0.590909,1.0,0.87027,-0.590909,1.0,-0.636364,-0.382353,-0.195122,-0.186441,-0.236842,-0.209877,0.020268,0.974649,-0.786025,-0.909,-0.962093,-0.935551,0.04878,0.958333,-0.730769,0.141774,-0.09289,-0.275573,0.0,0.958333,-0.68932,0.178082,0.95,-0.752577,-0.035714,0.2,-0.097222,-0.101266,0.195652,-0.608108,-0.840901,-0.380468,0.323241,0.104727,0.422269,-0.835851,-0.442554,0.346282,0.10323,0.791726,-0.87461,-0.315187,0.310964,0.318399,0.504031,-0.712986,-0.523206,0.065365,0.305173,-0.287942,-0.837912,-0.520832,0.021231,0.351971,-0.067704,-0.825132,-0.530263,0.047488,0.275466,-0.300235,-0.631874,-0.399072,0.015514,0.168983,0.025157,-0.838427,-0.44171,0.363393,0.103977,0.721933,-0.856343,-0.310979,0.304247,0.235203,0.640861,-0.853999,-0.207342,0.149462,0.234029,0.838549,-0.786434,-0.498468,0.025031,0.363072,-0.182025,-0.723364,-0.486629,0.055209,0.236183,-0.129287,-0.545434,-0.294235,-0.222704,-0.215275,-0.805559,-0.181265,-0.163782,-0.340239,-0.698505,0.294045,0.098024,-0.182009,0.450372,0.450372,0.450372,-0.602663,-0.602663,0.188561,0.450372,0.450372,0.450372,-0.593434,-0.593434,0.147545,0.450372,0.450372,0.450372,-0.584684,-0.584684,-0.368421,ULCER
0.098667,0.077685,0.396739,-0.363511,0.264389,-0.636471,0.168831,0.160221,0.433155,0.250532,-0.699252,-0.179155,0.194969,0.125683,0.417989,0.142857,0.118644,0.362162,-0.230769,-0.607843,-0.081967,-0.333333,-0.311475,-0.258065,0.227657,-0.217986,0.09641,0.237264,0.287556,-0.696261,0.305263,-0.35,0.090909,-0.60284,-0.161592,0.318003,0.293478,-0.179487,0.030303,0.232432,-0.538462,0.3125,-0.686275,-0.642384,-0.464052,-0.492537,-0.61039,-0.607362,0.226975,-0.223407,0.276695,0.222478,-0.201942,-0.493149,0.312169,-0.318182,0.333333,-0.490294,-0.210919,-0.211078,0.225131,-0.318182,0.162791,0.264865,-0.045455,0.578947,-0.818182,-0.397059,-0.426829,-0.355932,-0.736842,-0.814815,0.037158,0.543412,-0.583869,-0.831217,-0.353434,-0.674298,0.04878,0.625,-0.576923,0.068116,0.196167,-0.171751,-0.380952,0.583333,-0.572816,0.123288,0.75,-0.649485,-1.0,-0.643243,-0.486111,-0.35443,-0.641304,-0.432432,-0.699891,-0.20355,0.251184,0.183577,0.14059,-0.691772,-0.462762,0.505735,0.053798,0.258775,-0.799765,-0.155142,0.189616,0.421685,0.295556,-0.369219,-0.677235,0.285173,0.18012,-0.123558,-0.636752,-0.62285,0.14356,0.270159,-0.035389,-0.513941,-0.529668,0.152394,0.187802,-0.151289,-0.413468,-0.608346,0.203427,0.15784,0.024325,-0.695914,-0.309235,0.290136,0.118494,0.283733,-0.745644,-0.134098,0.203326,0.327995,0.367844,-0.742337,-0.266616,0.318251,0.260342,0.441735,-0.526304,-0.475304,-0.033444,0.257484,-0.081083,-0.409782,-0.598219,0.219258,0.187467,-0.058977,0.387389,0.608976,-0.012456,0.591841,0.777564,0.256063,-0.405384,0.8289,0.527482,0.999773,0.257045,0.723133,0.517029,0.517029,0.517029,-0.426136,-0.426136,-0.593202,0.517029,0.517029,0.517029,-0.561703,-0.561703,-0.54332,0.517029,0.517029,0.517029,-0.463467,-0.463467,-0.876636,ULCER
0.415627,0.541547,0.661741,-0.648322,-0.818818,-0.83947,0.311688,0.458564,0.593583,0.157621,-0.739688,-0.188794,0.408805,0.497268,0.714286,0.360544,0.536723,0.621622,-0.269231,0.098039,-0.180328,-0.25,-0.409836,-0.225806,0.606791,-0.731167,0.418185,-0.783704,-0.875291,-0.785315,0.536842,-0.65,0.454545,-0.620837,-0.165637,0.263266,0.619565,-0.74359,0.515152,0.675676,-0.74359,0.5,0.294118,0.205298,-0.464052,-0.671642,0.220779,-0.374233,0.606375,-0.572775,0.784257,-0.788335,-0.854807,-0.75592,0.534392,-0.5,0.833333,-0.56129,-0.279954,-0.241291,0.570681,-0.636364,0.813953,0.664865,-0.636364,0.789474,0.054545,-0.132353,-0.439024,-0.559322,-0.013158,-0.45679,0.031824,0.902967,-0.75918,-0.90455,-0.975805,-0.960183,0.04878,0.875,-0.711538,0.067404,0.060038,-0.222452,-0.047619,0.916667,-0.631068,0.123288,0.9,-0.752577,-0.25,0.037838,-0.347222,-0.329114,0.032609,-0.310811,-0.76165,-0.450143,0.355089,-0.0312,0.239198,-0.832621,-0.32231,0.173151,0.125285,0.519335,-0.868246,-0.176128,0.104366,0.346153,0.31537,-0.717752,-0.401039,-0.04631,0.217611,-0.311684,-0.675824,-0.694668,0.27917,0.07912,-0.135389,-0.77438,-0.435064,-0.010319,0.140818,-0.3283,-0.387879,-0.648151,0.29487,-0.050067,-0.056965,-0.796413,-0.461865,0.37895,0.047274,0.477152,-0.810483,-0.258561,0.210624,0.179001,0.429649,-0.849302,-0.198069,0.107461,0.259399,0.583912,-0.693306,-0.524014,0.107838,0.176168,-0.226872,-0.586478,-0.552376,0.176818,0.055584,-0.185728,-0.559093,-0.200081,0.33353,-0.237639,-0.609181,0.142894,0.574284,-0.205139,-0.169106,0.498858,0.605817,0.117466,0.412662,0.412662,0.412662,-0.255973,-0.255973,-0.047264,0.412662,0.412662,0.412662,-0.420843,-0.420843,-0.341499,0.412662,0.412662,0.412662,-0.326086,-0.326086,-0.587696,ULCER
-0.114508,0.041878,0.309642,-0.214091,0.452461,0.336089,-0.246753,-0.116022,0.176471,0.104628,-0.697354,-0.227978,0.069182,-0.114754,0.142857,0.047619,0.378531,0.524324,-0.461538,-0.568627,-0.639344,-0.583333,-0.737705,-0.645161,0.168808,-0.40237,0.483097,0.901067,-0.692836,-0.630132,0.042105,-0.3,0.333333,-0.601553,-0.143674,0.290313,0.01087,-0.384615,0.636364,-0.027027,-0.384615,0.625,-0.764706,-0.059603,-0.281046,-0.671642,-0.038961,-0.202454,0.167753,-0.288554,0.678657,0.887791,-0.854535,-0.414664,0.037037,-0.227273,0.5,-0.48303,-0.202929,-0.23843,-0.015707,-0.272727,0.488372,0.47027,-0.272727,0.684211,-0.636364,-0.117647,-0.682927,-0.59322,0.0,-0.617284,-0.149119,0.730059,-0.529527,-0.843086,-0.815827,-0.883942,-0.195122,0.708333,-0.423077,0.043455,0.145571,-0.117914,-0.238095,0.708333,-0.475728,-0.09589,0.65,-0.463918,-0.321429,-0.351351,-0.652778,-0.405063,-0.358696,-0.554054,-0.731178,-0.485725,0.489172,-0.025972,-0.196179,-0.704289,-0.65916,0.690484,-0.302851,0.045061,-0.750279,-0.637355,0.728248,-0.186948,0.051302,-0.659699,-0.471437,0.097688,0.226127,-0.257847,-0.722222,-0.66275,0.274717,0.12085,-0.114578,-0.785301,-0.415424,-0.021826,0.201257,-0.26961,-0.500337,-0.671506,0.344383,0.015037,-0.056504,-0.718007,-0.587774,0.579653,-0.164823,-0.011597,-0.739928,-0.542385,0.609866,-0.087078,0.044867,-0.725823,-0.59287,0.630361,-0.230284,0.181153,-0.69653,-0.531382,0.120017,0.202308,-0.188883,-0.640604,-0.548511,0.19765,0.119248,-0.157592,-0.645432,-0.18009,-0.374188,-0.279994,-0.828406,-0.134117,-1.0,-0.363173,-0.867883,-0.084187,-1.0,-0.356713,0.424392,0.424392,0.424392,-0.442079,-0.442079,-0.179391,0.424392,0.424392,0.424392,-0.506098,-0.506098,0.033591,0.424392,0.424392,0.424392,-0.410798,-0.410798,-0.348171,ULCER
