@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R3-25,27-76,78-87,89-96,98-151,153-162,164-167,169-186'

@attribute color_bgr_b_mean numeric
@attribute color_bgr_g_mean numeric
@attribute color_lab_a_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_b_intensity2 numeric
@attribute haralick_bgr_b_contrast numeric
@attribute haralick_luv_uv_contrast numeric
@attribute lbph_bgr_g_entropy numeric
@attribute lbph_bgr_r_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.761843,-0.73428,0.72467,-0.950359,-0.694779,-0.974179,-0.856712,0.836125,0.346521,ULCER
-0.825042,-0.776982,0.733484,-0.880988,-0.670683,-0.940234,-0.615948,0.601433,-0.321945,ULCER
-0.8927,-0.873596,0.30209,-0.716686,-0.783133,-0.950244,-0.239554,0.765003,0.338495,ULCER
-0.665275,-0.599657,0.68648,-0.910638,-0.590361,-0.928726,-0.659956,0.796895,0.360115,ULCER
-0.740801,-0.644291,0.82505,-0.913361,-0.566265,-0.90003,-0.841618,0.718302,-0.111316,ULCER
-0.729573,-0.693361,0.624637,-0.918159,-0.678715,-0.889364,-0.530706,0.8797,0.22968,ULCER
-0.768142,-0.715142,0.797589,-0.944048,-0.726908,-0.971765,-0.848791,0.828971,0.076202,ULCER
-0.77726,-0.728248,0.695063,-0.950823,-0.726908,-0.925703,-0.667701,0.777867,0.091813,ULCER
-0.690552,-0.636074,0.810325,-0.964176,-0.502008,-0.935518,-0.743437,0.803785,0.204165,ULCER
-0.59008,-0.567459,0.651862,-0.976356,-0.574297,-0.930819,-0.679627,0.826182,0.291309,ULCER
-0.750151,-0.688855,0.845731,-0.968076,-0.726908,-0.969538,-0.812573,0.817085,0.198317,ULCER
-0.496985,-0.501197,0.67562,-0.869239,-0.638554,-0.787302,-0.304024,0.536693,-0.287861,ULCER
-0.57277,-0.506616,0.720756,-0.84903,-0.614458,-0.794931,-0.792153,0.711691,-0.143295,ULCER
-0.140599,-0.246477,0.450894,-0.975334,-0.405622,-0.94579,-0.70942,0.673037,0.353037,ULCER
-0.670875,-0.647407,0.717473,-0.916016,-0.670683,-0.902711,-0.763945,0.80969,0.171987,ULCER
0.002187,-0.113864,0.376178,-0.978058,-0.39759,-0.922746,-0.568112,0.582757,0.063975,ULCER
-0.781848,-0.737882,0.685632,-0.949748,-0.710843,-0.884037,-0.64913,0.912905,0.240674,ULCER
-0.790125,-0.744337,0.715358,-0.972013,-0.73494,-0.971989,-0.909873,0.888524,0.216983,ULCER
-0.802648,-0.764274,0.788797,-0.965789,-0.62249,-0.963656,-0.899487,0.826765,0.155024,ULCER
-0.772608,-0.738357,0.753419,-0.950278,-0.558233,-0.948907,-0.897991,0.904833,0.113679,ULCER
-0.789473,-0.752597,0.73367,-0.948234,-0.73494,-0.957824,-0.885097,0.864521,0.110789,ULCER
-0.14505,-0.239723,0.429275,-0.972993,-0.421687,-0.927905,-0.603802,0.564316,0.189419,ULCER
-0.743213,-0.708186,0.787639,-0.89588,-0.726908,-0.957901,-0.815169,0.532647,-0.213058,ULCER
-0.789078,-0.744535,0.765405,-0.921566,-0.686747,-0.855216,-0.859265,0.858793,0.22325,ULCER
-0.833611,-0.783154,0.727992,-0.961216,-0.686747,-0.989335,-0.917706,0.770233,0.273217,ULCER
-0.772904,-0.727505,0.712202,-0.947931,-0.694779,-0.980467,-0.850463,0.817642,0.359307,ULCER
-0.833674,-0.780728,0.770443,-0.968491,-0.759036,-0.99069,-0.846326,0.770979,-0.135515,ULCER
-0.798096,-0.761332,0.780624,-0.948142,-0.630522,-0.962609,-0.934473,0.902868,0.30064,ULCER
-0.629992,-0.57032,0.750943,-0.815722,-0.638554,-0.676611,-0.535239,0.802156,-0.030201,ULCER
-0.865834,-0.829655,0.5196,-0.952515,-0.791165,-0.990171,-0.803199,0.771861,0.52515,ULCER
-0.722869,-0.675852,0.689512,-0.952911,-0.678715,-0.974947,-0.920171,0.755281,0.093371,ULCER
-0.782411,-0.737354,0.560246,-0.927757,-0.686747,-0.973571,-0.847251,0.744509,-0.37863,ULCER
-0.799531,-0.765007,0.717191,-0.935823,-0.726908,-0.95118,-0.898959,0.828878,0.368132,ULCER
-0.767269,-0.717037,0.750846,-0.949045,-0.702811,-0.955186,-0.811297,0.882745,0.393057,ULCER
-0.752604,-0.703069,0.694094,-0.958751,-0.702811,-0.971208,-0.81803,0.785058,0.104849,ULCER
-0.836056,-0.801036,0.633517,-0.940503,-0.759036,-0.973953,-0.83044,0.702433,0.504113,ULCER
-0.650568,-0.588542,0.699888,-0.869053,-0.62249,-0.916188,-0.591832,0.766499,-0.0036,ULCER
-0.622783,-0.568614,0.682837,-0.857478,-0.662651,-0.553298,-0.615068,0.713808,0.304694,ULCER
-0.704724,-0.669749,0.609662,-0.944106,-0.638554,-0.939494,-0.881048,0.804689,0.006009,ULCER
