@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-8,10-40,42-50,52-76,79-84,86-106,108-119,121-125,127-145,148-158,160-186'

@attribute color_bgr_r_centroid numeric
@attribute color_lab_a_intensity2 numeric
@attribute color_luv_v_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_intensity1 numeric
@attribute haralick_bgr_r_contrast numeric
@attribute haralick_lab_b_homogeneity numeric
@attribute haralick_luv_u_correlation numeric
@attribute haralick_bgr_gr_correlation numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_entropy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.127572,0.757576,0.327695,-0.832854,-0.924094,-0.439394,-0.844775,-0.196733,-0.495251,-0.665295,-0.691384,0.887162,ULCER
-0.176955,0.484848,0.203118,-0.714686,-0.845098,-0.287879,-0.91881,-0.103942,-0.443104,-0.67501,-0.637552,0.557026,ULCER
0.111111,0.757576,0.320143,-0.814313,-0.917022,-0.363636,-0.831461,-0.09648,-0.431161,-0.641675,-0.678638,0.80751,ULCER
0.152263,0.757576,0.300581,-0.86754,-0.935098,-0.484848,-0.948149,0.100507,-0.364165,-0.618877,-0.81672,0.810967,ULCER
0.127572,0.787879,0.315631,-0.920983,-0.957335,-0.5,-0.967291,0.041492,-0.391151,-0.637851,-0.871732,0.831933,ULCER
0.152263,0.727273,0.236429,-0.812312,-0.92657,-0.287879,-0.882621,-0.830974,-0.829697,-0.870247,-0.513071,0.47399,ULCER
0.415638,0.606061,-0.149165,-0.920831,-0.947416,0.181818,-0.950321,-0.045136,-0.35253,-0.287633,-0.460461,0.553282,ULCER
0.012346,0.69697,0.155436,-0.897537,-0.884915,-0.318182,-0.970214,-0.799171,-0.771893,-0.85122,-0.666545,-0.171023,ULCER
-0.111111,0.606061,0.248244,-0.979543,-0.988717,-0.469697,-0.991027,-0.350635,-0.700632,-0.839276,-0.919456,0.691382,ULCER
0.127572,0.787879,0.316011,-0.937179,-0.961768,-0.348485,-0.966966,-0.118476,-0.460107,-0.670949,-0.829587,0.790005,ULCER
0.160494,0.757576,0.36078,-0.812399,-0.90999,-0.242424,-0.737593,-0.07184,-0.345728,-0.548015,-0.432079,0.858377,ULCER
0.119342,0.727273,0.346704,-0.937026,-0.960778,-0.363636,-0.968247,0.039986,-0.404251,-0.605957,-0.844776,0.79253,ULCER
0.185185,0.757576,0.35634,-0.968335,-0.967683,-0.393939,-0.978373,-0.071446,-0.458717,-0.634725,-0.868434,0.783196,ULCER
0.358025,0.393939,-0.107072,-0.973061,-0.982165,0.121212,-0.954714,0.101148,-0.337423,-0.300946,-0.76472,0.635715,ULCER
0.333333,0.333333,-0.106219,-0.965709,-0.974874,0.136364,-0.964049,0.097818,-0.350973,-0.328378,-0.72848,0.469265,ULCER
0.061728,0.757576,0.287612,-0.887915,-0.92387,-0.424242,-0.824667,-0.241847,-0.555667,-0.733851,-0.803119,0.769894,ULCER
0.012346,0.757576,0.277429,-0.936584,-0.972933,-0.469697,-0.97922,-0.013905,-0.487992,-0.713772,-0.912167,0.823113,ULCER
0.053498,0.757576,0.304796,-0.93658,-0.95286,-0.439394,-0.944547,-0.012216,-0.430769,-0.63354,-0.854467,0.811665,ULCER
0.053498,0.484848,0.202018,-0.887164,-0.908125,-0.242424,-0.821804,-0.769961,-0.856004,-0.899286,-0.744808,0.604331,ULCER
0.111111,0.606061,0.1747,-0.961867,-0.946967,-0.242424,-0.961507,-0.628908,-0.673054,-0.758527,-0.658075,0.484953,ULCER
0.045267,0.757576,0.291146,-0.947367,-0.975694,-0.439394,-0.977024,-0.051523,-0.494926,-0.701802,-0.897956,0.814137,ULCER
0.004115,0.727273,0.278552,-0.946217,-0.966286,-0.424242,-0.956848,-0.023245,-0.470413,-0.694279,-0.890667,0.861761,ULCER
0.045267,0.727273,0.290574,-0.907578,-0.935789,-0.454545,-0.907208,-0.187616,-0.552386,-0.724738,-0.871936,0.869671,ULCER
0.102881,0.575758,0.26372,-0.839422,-0.901992,-0.30303,-0.810111,-0.666385,-0.829223,-0.87314,-0.777058,0.680406,ULCER
-0.037037,0.666667,0.263472,-0.941701,-0.959293,-0.333333,-0.956866,-0.017838,-0.463534,-0.690708,-0.852065,0.81211,ULCER
0.004115,0.727273,0.266286,-0.95767,-0.976347,-0.424242,-0.962953,-0.144988,-0.565333,-0.746713,-0.911841,0.934055,ULCER
-0.012346,0.636364,0.258857,-0.913617,-0.942194,-0.484848,-0.943907,0.124889,-0.34221,-0.616503,-0.8179,0.803892,ULCER
0.037037,0.666667,0.249621,-0.934601,-0.972145,-0.454545,-0.984106,-0.171467,-0.634699,-0.777217,-0.946494,0.744568,ULCER
0.061728,0.69697,0.266491,-0.768829,-0.844221,-0.454545,-0.622282,-0.289595,-0.509813,-0.677168,-0.613649,0.766849,ULCER
0.135802,0.69697,0.299345,-0.852047,-0.917697,-0.333333,-0.977308,-0.151354,-0.575299,-0.734867,-0.901417,0.677157,ULCER
0.053498,0.757576,0.285677,-0.869641,-0.90551,-0.424242,-0.955319,-0.243388,-0.584737,-0.768365,-0.839523,0.841168,ULCER
0.045267,0.636364,0.199837,-0.932012,-0.955812,-0.363636,-0.937345,-0.400159,-0.648335,-0.797753,-0.637063,0.900071,ULCER
-0.020576,0.666667,0.267862,-0.973424,-0.982517,-0.439394,-0.977221,-0.062436,-0.569692,-0.750506,-0.926297,0.900315,ULCER
-0.037037,0.69697,0.263826,-0.97884,-0.98393,-0.469697,-0.978688,0.026164,-0.543204,-0.747248,-0.940182,0.89804,ULCER
-0.037037,0.727273,0.278209,-0.968977,-0.979244,-0.545455,-0.981477,-0.050438,-0.535135,-0.749379,-0.914407,0.77207,ULCER
-0.325103,0.454545,0.141282,-0.941865,-0.957115,-0.454545,-0.988237,-0.641747,-0.868184,-0.944588,-0.936803,0.736261,ULCER
-0.08642,0.666667,0.240967,-0.963455,-0.978207,-0.484848,-0.987347,-0.114848,-0.592153,-0.783995,-0.935785,0.738013,ULCER
-0.053498,0.727273,0.268325,-0.870931,-0.920024,-0.545455,-0.974857,-0.153269,-0.576355,-0.77442,-0.912574,0.771728,ULCER
-0.069959,0.666667,0.253319,-0.94212,-0.964516,-0.515152,-0.961067,-0.217842,-0.604025,-0.787779,-0.908258,0.809824,ULCER
-0.004115,0.666667,0.243656,-0.923513,-0.954904,-0.409091,-0.974953,-0.266248,-0.636176,-0.79668,-0.918479,0.787031,ULCER
-0.152263,0.636364,0.215629,-0.912783,-0.931884,-0.393939,-0.869833,-0.334007,-0.609799,-0.771234,-0.70873,0.759575,ULCER
0.037037,0.727273,0.294319,-0.955426,-0.967877,-0.378788,-0.944087,-0.011866,-0.392866,-0.623154,-0.809471,0.827976,ULCER
-0.061728,0.69697,0.264076,-0.929503,-0.949421,-0.560606,-0.975022,-0.111085,-0.53271,-0.743096,-0.878573,0.769974,ULCER
-0.176955,0.515152,0.19354,-0.885457,-0.922072,-0.439394,-0.955574,0.073617,-0.372536,-0.644767,-0.804137,0.787784,ULCER
-0.004115,0.636364,0.201589,-0.888042,-0.916052,-0.439394,-0.887519,0.115387,-0.3666,-0.635185,-0.808168,0.749247,ULCER
-0.09465,0.606061,0.173051,-0.8217,-0.90042,-0.424242,-0.934928,-0.422675,-0.680484,-0.837206,-0.820832,0.679276,ULCER
-0.193416,0.545455,0.180795,-0.792987,-0.878959,-0.363636,-0.82265,-0.122145,-0.487307,-0.727152,-0.735565,0.645318,ULCER
-0.45679,0.30303,0.077523,-0.838046,-0.89815,-0.469697,-0.87497,-0.195752,-0.542896,-0.822702,-0.71321,0.66107,ULCER
-0.522634,0.212121,0.089547,-0.543454,-0.636275,-0.318182,-0.912267,-0.768018,-0.878712,-0.947777,-0.72848,0.699882,ULCER
0.251029,0.636364,0.328513,-0.88326,-0.921918,-0.242424,-0.780956,-0.871636,-0.936942,-0.939968,-0.828121,0.676719,ULCER
0.176955,0.787879,0.318172,-0.942963,-0.961009,-0.439394,-0.928337,-0.019715,-0.390295,-0.615875,-0.81619,0.838707,ULCER
-0.004115,0.727273,0.270635,-0.946837,-0.969752,-0.454545,-0.967873,0.001427,-0.465329,-0.696702,-0.887613,0.894674,ULCER
0.185185,0.787879,0.344959,-0.825035,-0.919792,-0.515152,-0.934646,-0.229958,-0.569124,-0.716209,-0.773516,0.909626,ULCER
0.069959,0.787879,0.302361,-0.866511,-0.9245,-0.484848,-0.829085,-0.184511,-0.535355,-0.706279,-0.749817,0.801378,ULCER
0.004115,0.636364,0.242676,-0.952292,-0.965262,-0.454545,-0.976083,0.080109,-0.480885,-0.692889,-0.91913,0.738379,ULCER
-0.209877,0.484848,0.180426,-0.904242,-0.929896,-0.469697,-0.944615,-0.038631,-0.469743,-0.714681,-0.80601,0.671564,ULCER
-0.325103,0.454545,0.114708,-0.71483,-0.825187,-0.530303,-0.891411,-0.362427,-0.626995,-0.830248,-0.656161,0.703091,ULCER
0.037037,0.787879,0.298837,-0.829741,-0.893111,-0.530303,-0.911702,-0.08192,-0.437944,-0.66847,-0.749817,0.74067,ULCER
-0.259259,0.545455,0.134743,-0.852272,-0.906826,-0.454545,-0.940938,-0.761339,-0.858965,-0.931986,-0.724122,0.622414,ULCER
0.135802,0.787879,0.306631,-0.949363,-0.969738,-0.545455,-0.931519,-0.021488,-0.385099,-0.619595,-0.759467,0.786672,ULCER
0.028807,0.787879,0.30832,-0.950289,-0.97032,-0.484848,-0.956757,0.018423,-0.412821,-0.656724,-0.888672,0.804944,ULCER
0.004115,0.757576,0.290953,-0.91644,-0.945041,-0.560606,-0.983211,0.072671,-0.386028,-0.650308,-0.883256,0.74935,ULCER
0.127572,-0.030303,0.28018,-0.996789,-0.998383,-0.030303,-0.988066,0.158242,-0.618199,-0.602472,-0.960827,0.629729,NON_ULCER
0.045267,0,0.254445,-0.994049,-0.998146,-0.030303,-0.990089,0.205545,-0.571266,-0.56546,-0.950729,0.577675,NON_ULCER
-0.020576,0.090909,0.124173,-0.98327,-0.996254,-0.015152,-0.930727,0.02477,-0.550111,-0.624515,-0.868597,0.794243,NON_ULCER
0.144033,0.333333,0.116279,-0.984531,-0.994642,0,-0.939873,-0.558064,-0.85329,-0.849428,-0.927356,0.614712,NON_ULCER
-0.078189,-0.060606,0.193931,-0.989279,-0.990502,-0.060606,-0.958468,-0.051228,-0.664448,-0.723104,-0.937861,0.623224,NON_ULCER
-0.09465,-0.060606,0.183367,-0.987733,-0.988645,-0.257576,-0.96217,0.036682,-0.596653,-0.686768,-0.915343,0.583381,NON_ULCER
-0.053498,0,0.178671,-0.984868,-0.991871,-0.212121,-0.972984,0.122039,-0.56484,-0.643473,-0.916565,0.695935,NON_ULCER
-0.053498,0.242424,0.148561,-0.970464,-0.99184,-0.030303,-0.981207,-0.192328,-0.706633,-0.744027,-0.909683,0.755699,NON_ULCER
