@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R2-37,39-55,57-72,75-76,79-85,87,89-106,108-186'

@attribute color_bgr_b_mean numeric
@attribute color_lab_a_intensity1 numeric
@attribute color_luv_u_centroid numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_g_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_g_intensity1 numeric
@attribute color_norm_b_intensity2 numeric
@attribute haralick_bgr_r_contrast numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.730415,0.52381,0.717949,-0.460686,-0.100416,-0.829726,-0.898117,-0.157895,-0.667984,-0.879749,ULCER
-0.744772,0.809524,0.666667,-0.456574,-0.145333,-0.928543,-0.916301,-0.178947,-0.72332,-0.978412,ULCER
-0.813937,0.809524,0.692308,-0.543486,-0.248555,-0.968856,-0.986689,-0.2,-0.731225,-0.970657,ULCER
-0.698473,0.84127,0.74359,-0.425462,-0.018954,-0.904351,-0.964493,-0.031579,-0.573123,-0.933863,ULCER
-0.339322,0.68254,0.564103,-0.033448,0.126832,-0.959986,-0.95636,0.136842,-0.462451,-0.941836,ULCER
-0.64997,0.777778,0.641026,-0.352657,0.029727,-0.881811,-0.930391,0.010526,-0.596838,-0.878511,ULCER
0.043279,0.333333,0.051282,0.172571,0.353943,-0.987539,-0.994456,0.389474,-0.383399,-0.970622,ULCER
-0.249506,0.460317,0.230769,0.03861,0.21858,-0.965144,-0.96382,0.284211,-0.422925,-0.969808,ULCER
-0.698019,0.809524,0.717949,-0.423668,-0.072935,-0.874137,-0.912606,0.073684,-0.70751,-0.797923,ULCER
-0.742914,0.873016,0.769231,-0.506194,-0.069809,-0.89522,-0.934043,-0.073684,-0.541502,-0.807808,ULCER
-0.708421,0.809524,0.769231,-0.445756,-0.04592,-0.962614,-0.96667,-0.010526,-0.6917,-0.96539,ULCER
-0.133452,0.365079,0.153846,0.118183,0.31474,-0.982334,-0.991128,0.368421,-0.41502,-0.971977,ULCER
-0.210486,0.52381,0.25641,0.078339,0.250884,-0.991268,-0.995207,0.263158,-0.438735,-0.993651,ULCER
-0.096565,0.428571,0.230769,0.129735,0.288719,-0.980484,-0.988397,0.326316,-0.383399,-0.975018,ULCER
-0.588405,0.68254,0.589744,-0.25158,0.064768,-0.976456,-0.953699,0.094737,-0.549407,-0.959128,ULCER
-0.732154,0.84127,0.717949,-0.451885,-0.109652,-0.916599,-0.938734,-0.221053,-0.715415,-0.884884,ULCER
-0.603213,0.333333,0.589744,-0.282189,0.021497,-0.892768,-0.917509,0.031579,-0.525692,-0.691905,ULCER
-0.657184,0.746032,0.589744,-0.356979,0.049756,-0.898629,-0.931279,0.073684,-0.620553,-0.910688,ULCER
-0.754035,0.84127,0.717949,-0.480153,-0.162943,-0.884644,-0.908449,-0.136842,-0.715415,-0.848746,ULCER
-0.759874,0.714286,0.487179,-0.437841,-0.10772,-0.912946,-0.921096,-0.263158,-0.6917,-0.877418,ULCER
-0.764603,0.777778,0.615385,-0.473191,-0.130458,-0.945861,-0.963743,-0.157895,-0.70751,-0.934178,ULCER
-0.793287,0.777778,0.641026,-0.518012,-0.216601,-0.941682,-0.97003,-0.157895,-0.604743,-0.944482,ULCER
-0.794208,0.777778,0.641026,-0.520984,-0.198815,-0.947342,-0.966542,-0.157895,-0.70751,-0.929087,ULCER
-0.716229,0.714286,0.564103,-0.392706,-0.043478,-0.959701,-0.980017,0.010526,-0.652174,-0.981466,ULCER
-0.590598,0.746032,0.589744,-0.298699,0.105552,-0.89138,-0.92298,0.073684,-0.573123,-0.809223,ULCER
-0.751811,0.619048,0.615385,-0.448577,-0.106365,-0.822454,-0.883077,-0.157895,-0.747036,-0.921295,ULCER
-0.752872,0.746032,0.589744,-0.448163,-0.107876,-0.93632,-0.961848,-0.073684,-0.533597,-0.949017,ULCER
-0.703166,0.52381,0.641026,-0.411718,-0.090213,-0.798058,-0.859544,-0.157895,-0.565217,-0.574256,ULCER
-0.774098,0.777778,0.615385,-0.476116,-0.175985,-0.968749,-0.980938,-0.157895,-0.620553,-0.970547,ULCER
-0.666156,0.714286,0.564103,-0.334954,-0.01743,-0.929588,-0.960609,-0.094737,-0.541502,-0.883973,ULCER
-0.82313,0.714286,0.461538,-0.532732,-0.222342,-0.969901,-0.982412,-0.178947,-0.72332,-0.981541,ULCER
-0.859154,0.777778,0.564103,-0.632488,-0.33576,-0.928318,-0.948002,-0.494737,-0.802372,-0.958884,ULCER
-0.745938,0.269841,0.564103,-0.411666,-0.098159,-0.913179,-0.947242,-0.073684,-0.549407,-0.893024,ULCER
-0.816244,0.714286,0.564103,-0.544596,-0.221701,-0.938177,-0.952125,-0.2,-0.731225,-0.95641,ULCER
-0.784997,0.714286,0.564103,-0.489451,-0.150153,-0.970324,-0.979883,-0.115789,-0.70751,-0.9643,ULCER
-0.835521,0.746032,0.538462,-0.580154,-0.236792,-0.969805,-0.978015,-0.2,-0.73913,-0.986624,ULCER
-0.859462,0.555556,0.307692,-0.541676,-0.221072,-0.946887,-0.958319,-0.178947,-0.762846,-0.967424,ULCER
-0.832916,0.460317,0.435897,-0.517419,-0.209284,-0.911837,-0.939946,-0.178947,-0.715415,-0.942283,ULCER
-0.827795,0.587302,0.307692,-0.515824,-0.200512,-0.931844,-0.951936,-0.284211,-0.699605,-0.954805,ULCER
-0.716836,0.777778,0.615385,-0.416184,-0.081553,-0.95055,-0.962992,-0.010526,-0.596838,-0.915882,ULCER
-0.779007,0.746032,0.589744,-0.483101,-0.176715,-0.939538,-0.951005,-0.157895,-0.620553,-0.944324,ULCER
-0.847589,0.396825,0.358974,-0.523968,-0.200708,-0.930457,-0.960129,-0.178947,-0.72332,-0.977163,ULCER
-0.521766,0.714286,0.666667,-0.265982,0.137683,-0.858495,-0.920778,0.052632,-0.588933,-0.778029,ULCER
-0.750537,0.587302,0.384615,-0.396606,-0.022687,-0.943749,-0.961958,0.010526,-0.6917,-0.960401,ULCER
-0.896113,0.111111,0.051282,-0.549892,-0.265808,-0.702326,-0.776957,-0.115789,-0.762846,-0.842049,ULCER
-0.831619,0.777778,0.692308,-0.584103,-0.238135,-0.96448,-0.979723,-0.221053,-0.731225,-0.979981,ULCER
-0.676486,0.301587,0.435897,-0.314342,0.023678,-0.887946,-0.926425,-0.010526,-0.557312,-0.781485,ULCER
-0.911366,0.365079,0.076923,-0.617008,-0.350769,-0.781687,-0.878808,-0.326316,-0.786561,-0.927943,ULCER
-0.782538,0.714286,0.564103,-0.477036,-0.137179,-0.927564,-0.953404,-0.242105,-0.6917,-0.899444,ULCER
-0.788935,0.52381,0.410256,-0.427514,-0.094356,-0.97698,-0.979123,-0.073684,-0.667984,-0.969695,ULCER
-0.823202,0.396825,0.205128,-0.469027,-0.11341,-0.853357,-0.900529,-0.115789,-0.675889,-0.901797,ULCER
-0.724251,0.873016,0.794872,-0.453501,-0.101276,-0.945731,-0.957786,-0.073684,-0.699605,-0.933123,ULCER
-0.739796,0.68254,0.512821,-0.421112,-0.063846,-0.962641,-0.976354,-0.031579,-0.667984,-0.951059,ULCER
-0.847343,0.52381,0.102564,-0.486598,-0.129101,-0.769522,-0.849594,-0.178947,-0.620553,-0.886276,ULCER
