img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;GRAB;20.07;208;28921.00;51620.00;2136.00;523.00;0.98;0.96;0.93;0.97;0.92
114;GRAB;15.20;208;28526.00;52763.00;520.00;1391.00;0.95;0.99;0.98;0.98;0.94
14;GRAB;15.32;208;42677.00;38044.00;297.00;2182.00;0.95;0.99;0.99;0.97;0.95
15;GRAB;15.66;208;23439.00;57334.00;1232.00;1195.00;0.95;0.98;0.95;0.97;0.91
17;GRAB;15.41;209;22182.00;59877.00;753.00;388.00;0.98;0.99;0.97;0.99;0.95
18;GRAB;15.82;208;19131.00;62656.00;1037.00;376.00;0.98;0.98;0.95;0.98;0.93
26;GRAB;15.51;208;32477.00;48688.00;293.00;1742.00;0.95;0.99;0.99;0.98;0.94
29;GRAB;16.06;215;35990.00;42671.00;608.00;3931.00;0.90;0.99;0.98;0.95;0.89
31;GRAB;16.84;208;25273.00;57091.00;194.00;642.00;0.98;1.00;0.99;0.99;0.97
33;GRAB;19.08;208;32583.00;48129.00;371.00;2117.00;0.94;0.99;0.99;0.97;0.93
39;GRAB;17.22;208;30601.00;45968.00;4582.00;2049.00;0.94;0.91;0.87;0.92;0.82
43;GRAB;16.85;208;25660.00;52700.00;2064.00;2776.00;0.90;0.96;0.93;0.94;0.84
47;GRAB;16.72;208;28767.00;52908.00;236.00;1289.00;0.96;1.00;0.99;0.98;0.95
49;GRAB;17.23;205;26632.00;52074.00;197.00;4297.00;0.86;1.00;0.99;0.95;0.86
63;GRAB;17.20;208;7866.00;68546.00;360.00;6428.00;0.55;0.99;0.96;0.92;0.54
81;GRAB;18.13;208;19612.00;61764.00;285.00;1539.00;0.93;1.00;0.99;0.98;0.91
9;GRAB;17.86;208;27473.00;44507.00;10833.00;387.00;0.99;0.80;0.72;0.87;0.71
90;GRAB;26.26;208;40558.00;40005.00;22.00;2615.00;0.94;1.00;1.00;0.97;0.94
91;GRAB;15.51;208;33853.00;46258.00;1904.00;1185.00;0.97;0.96;0.95;0.96;0.92
98;GRAB;16.34;210;38056.00;40961.00;372.00;3811.00;0.91;0.99;0.99;0.95;0.90
99;GRAB;15.90;206;30281.00;48879.00;899.00;3141.00;0.91;0.98;0.97;0.95;0.88
