img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;19.19;208;27581.00;43780.00;9976.00;1863.00;0.94;0.81;0.73;0.86;0.70
114;SVM;14.59;208;25208.00;44841.00;8442.00;4709.00;0.84;0.84;0.75;0.84;0.66
14;SVM;14.64;208;43053.00;36513.00;1828.00;1806.00;0.96;0.95;0.96;0.96;0.92
15;SVM;15.05;208;22196.00;46668.00;11898.00;2438.00;0.90;0.80;0.65;0.83;0.61
17;SVM;14.94;209;21664.00;57778.00;2852.00;906.00;0.96;0.95;0.88;0.95;0.85
18;SVM;15.38;208;17824.00;56642.00;7051.00;1683.00;0.91;0.89;0.72;0.90;0.67
26;SVM;14.81;208;31418.00;38429.00;10552.00;2801.00;0.92;0.78;0.75;0.84;0.70
29;SVM;15.23;215;39411.00;31598.00;11681.00;510.00;0.99;0.73;0.77;0.85;0.76
31;SVM;16.14;208;25458.00;52085.00;5200.00;457.00;0.98;0.91;0.83;0.93;0.82
33;SVM;17.48;208;33076.00;43453.00;5047.00;1624.00;0.95;0.90;0.87;0.92;0.83
39;SVM;16.42;208;28621.00;40023.00;10527.00;4029.00;0.88;0.79;0.73;0.83;0.66
43;SVM;16.09;208;24550.00;40015.00;14749.00;3886.00;0.86;0.73;0.62;0.78;0.57
47;SVM;16.18;208;27892.00;50678.00;2466.00;2164.00;0.93;0.95;0.92;0.94;0.86
49;SVM;16.53;205;28509.00;45635.00;6636.00;2420.00;0.92;0.87;0.81;0.89;0.76
63;SVM;16.83;208;9164.00;62654.00;6252.00;5130.00;0.64;0.91;0.59;0.86;0.45
81;SVM;17.65;208;20601.00;55370.00;6679.00;550.00;0.97;0.89;0.76;0.91;0.74
9;SVM;16.98;208;27503.00;30040.00;25300.00;357.00;0.99;0.54;0.52;0.69;0.52
90;SVM;25.64;208;34509.00;37518.00;2509.00;8664.00;0.80;0.94;0.93;0.87;0.76
91;SVM;14.87;208;33319.00;40111.00;8051.00;1719.00;0.95;0.83;0.81;0.88;0.77
98;SVM;15.60;210;40671.00;30678.00;10655.00;1196.00;0.97;0.74;0.79;0.86;0.77
99;SVM;15.26;206;31769.00;41540.00;8238.00;1653.00;0.95;0.83;0.79;0.88;0.76
