******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         208          19.19           27581.00        43780.00        9976.00          1863.00          0.94         0.81         0.73       0.86      0.70                
114         208          14.59           25208.00        44841.00        8442.00          4709.00          0.84         0.84         0.75       0.84      0.66                
14          208          14.64           43053.00        36513.00        1828.00          1806.00          0.96         0.95         0.96       0.96      0.92                
15          208          15.05           22196.00        46668.00        11898.00         2438.00          0.90         0.80         0.65       0.83      0.61                
17          209          14.94           21664.00        57778.00        2852.00          906.00           0.96         0.95         0.88       0.95      0.85                
18          208          15.38           17824.00        56642.00        7051.00          1683.00          0.91         0.89         0.72       0.90      0.67                
26          208          14.81           31418.00        38429.00        10552.00         2801.00          0.92         0.78         0.75       0.84      0.70                
29          215          15.23           39411.00        31598.00        11681.00         510.00           0.99         0.73         0.77       0.85      0.76                
31          208          16.14           25458.00        52085.00        5200.00          457.00           0.98         0.91         0.83       0.93      0.82                
33          208          17.48           33076.00        43453.00        5047.00          1624.00          0.95         0.90         0.87       0.92      0.83                
39          208          16.42           28621.00        40023.00        10527.00         4029.00          0.88         0.79         0.73       0.83      0.66                
43          208          16.09           24550.00        40015.00        14749.00         3886.00          0.86         0.73         0.62       0.78      0.57                
47          208          16.18           27892.00        50678.00        2466.00          2164.00          0.93         0.95         0.92       0.94      0.86                
49          205          16.53           28509.00        45635.00        6636.00          2420.00          0.92         0.87         0.81       0.89      0.76                
63          208          16.83           9164.00         62654.00        6252.00          5130.00          0.64         0.91         0.59       0.86      0.45                
81          208          17.65           20601.00        55370.00        6679.00          550.00           0.97         0.89         0.76       0.91      0.74                
9           208          16.98           27503.00        30040.00        25300.00         357.00           0.99         0.54         0.52       0.69      0.52                
90          208          25.64           34509.00        37518.00        2509.00          8664.00          0.80         0.94         0.93       0.87      0.76                
91          208          14.87           33319.00        40111.00        8051.00          1719.00          0.95         0.83         0.81       0.88      0.77                
98          210          15.60           40671.00        30678.00        10655.00         1196.00          0.97         0.74         0.79       0.86      0.77                
99          206          15.26           31769.00        41540.00        8238.00          1653.00          0.95         0.83         0.79       0.88      0.76                
            
MEAN:       208.24       16.45           28285.57        44097.57        8409.00          2407.86          0.92         0.84         0.77       0.87      0.72                
STD:        1.77         2.35            7721.70         8879.24         5088.13          1933.48          0.08         0.10         0.11       0.06      0.11                



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         208          20.07           28921.00        51620.00        2136.00          523.00           0.98         0.96         0.93       0.97      0.92                
114         208          15.20           28526.00        52763.00        520.00           1391.00          0.95         0.99         0.98       0.98      0.94                
14          208          15.32           42677.00        38044.00        297.00           2182.00          0.95         0.99         0.99       0.97      0.95                
15          208          15.66           23439.00        57334.00        1232.00          1195.00          0.95         0.98         0.95       0.97      0.91                
17          209          15.41           22182.00        59877.00        753.00           388.00           0.98         0.99         0.97       0.99      0.95                
18          208          15.82           19131.00        62656.00        1037.00          376.00           0.98         0.98         0.95       0.98      0.93                
26          208          15.51           32477.00        48688.00        293.00           1742.00          0.95         0.99         0.99       0.98      0.94                
29          215          16.06           35990.00        42671.00        608.00           3931.00          0.90         0.99         0.98       0.95      0.89                
31          208          16.84           25273.00        57091.00        194.00           642.00           0.98         1.00         0.99       0.99      0.97                
33          208          19.08           32583.00        48129.00        371.00           2117.00          0.94         0.99         0.99       0.97      0.93                
39          208          17.22           30601.00        45968.00        4582.00          2049.00          0.94         0.91         0.87       0.92      0.82                
43          208          16.85           25660.00        52700.00        2064.00          2776.00          0.90         0.96         0.93       0.94      0.84                
47          208          16.72           28767.00        52908.00        236.00           1289.00          0.96         1.00         0.99       0.98      0.95                
49          205          17.23           26632.00        52074.00        197.00           4297.00          0.86         1.00         0.99       0.95      0.86                
63          208          17.20           7866.00         68546.00        360.00           6428.00          0.55         0.99         0.96       0.92      0.54                
81          208          18.13           19612.00        61764.00        285.00           1539.00          0.93         1.00         0.99       0.98      0.91                
9           208          17.86           27473.00        44507.00        10833.00         387.00           0.99         0.80         0.72       0.87      0.71                
90          208          26.26           40558.00        40005.00        22.00            2615.00          0.94         1.00         1.00       0.97      0.94                
91          208          15.51           33853.00        46258.00        1904.00          1185.00          0.97         0.96         0.95       0.96      0.92                
98          210          16.34           38056.00        40961.00        372.00           3811.00          0.91         0.99         0.99       0.95      0.90                
99          206          15.90           30281.00        48879.00        899.00           3141.00          0.91         0.98         0.97       0.95      0.88                
            
MEAN:       208.24       17.15           28598.00        51116.33        1390.24          2095.43          0.92         0.97         0.96       0.96      0.88                
STD:        1.77         2.39            7695.60         7848.13         2346.33          1517.57          0.09         0.04         0.06       0.03      0.10                

