img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;GRAB;19.51;208;22813.00;53726.00;30.00;6631.00;0.77;1.00;1.00;0.92;0.77
114;GRAB;16.49;208;28543.00;52858.00;425.00;1374.00;0.95;0.99;0.99;0.98;0.94
14;GRAB;16.91;208;43652.00;37826.00;515.00;1207.00;0.97;0.99;0.99;0.98;0.96
15;GRAB;16.21;208;22795.00;55766.00;2800.00;1839.00;0.93;0.95;0.89;0.94;0.83
17;GRAB;16.04;208;21113.00;59691.00;939.00;1457.00;0.94;0.98;0.96;0.97;0.90
18;GRAB;15.92;208;18865.00;63288.00;405.00;642.00;0.97;0.99;0.98;0.99;0.95
26;GRAB;16.48;208;32598.00;48696.00;285.00;1621.00;0.95;0.99;0.99;0.98;0.94
29;GRAB;17.10;208;36048.00;41153.00;2126.00;3873.00;0.90;0.95;0.94;0.93;0.86
31;GRAB;16.61;208;25447.00;57083.00;202.00;468.00;0.98;1.00;0.99;0.99;0.97
33;GRAB;17.86;208;33487.00;48072.00;428.00;1213.00;0.97;0.99;0.99;0.98;0.95
39;GRAB;18.09;208;28642.00;50214.00;336.00;4008.00;0.88;0.99;0.99;0.95;0.87
43;GRAB;18.41;208;26367.00;54336.00;428.00;2069.00;0.93;0.99;0.98;0.97;0.91
47;GRAB;17.97;208;26374.00;53096.00;48.00;3682.00;0.88;1.00;1.00;0.96;0.88
49;GRAB;18.46;208;25152.00;52266.00;5.00;5777.00;0.81;1.00;1.00;0.93;0.81
63;GRAB;18.54;208;5163.00;68900.00;6.00;9131.00;0.36;1.00;1.00;0.89;0.36
81;GRAB;19.79;208;19221.00;61816.00;233.00;1930.00;0.91;1.00;0.99;0.97;0.90
9;GRAB;15.69;208;27219.00;52981.00;2359.00;641.00;0.98;0.96;0.92;0.96;0.90
90;GRAB;15.51;208;40306.00;39972.00;55.00;2867.00;0.93;1.00;1.00;0.96;0.93
91;GRAB;15.73;208;31899.00;47929.00;233.00;3139.00;0.91;1.00;0.99;0.96;0.90
98;GRAB;15.96;208;37762.00;40888.00;445.00;4105.00;0.90;0.99;0.99;0.95;0.89
99;GRAB;16.04;208;26150.00;49116.00;662.00;7272.00;0.78;0.99;0.98;0.90;0.77
