img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;18.66;208;26127.00;41026.00;12730.00;3317.00;0.89;0.76;0.67;0.81;0.62
114;SVM;15.87;208;27670.00;43619.00;9664.00;2247.00;0.92;0.82;0.74;0.86;0.70
14;SVM;16.16;208;42694.00;34348.00;3993.00;2165.00;0.95;0.90;0.91;0.93;0.87
15;SVM;15.57;208;21822.00;42672.00;15894.00;2812.00;0.89;0.73;0.58;0.78;0.54
17;SVM;15.60;208;20264.00;55876.00;4754.00;2306.00;0.90;0.92;0.81;0.92;0.74
18;SVM;15.50;208;18478.00;57560.00;6133.00;1029.00;0.95;0.90;0.75;0.91;0.72
26;SVM;15.76;208;32512.00;36394.00;12587.00;1707.00;0.95;0.74;0.72;0.83;0.69
29;SVM;16.21;208;38726.00;30458.00;12821.00;1195.00;0.97;0.70;0.75;0.83;0.73
31;SVM;16.09;208;25739.00;52562.00;4723.00;176.00;0.99;0.92;0.84;0.94;0.84
33;SVM;17.26;208;31540.00;44081.00;4419.00;3160.00;0.91;0.91;0.88;0.91;0.81
39;SVM;17.35;208;29187.00;38522.00;12028.00;3463.00;0.89;0.76;0.71;0.81;0.65
43;SVM;17.69;208;24859.00;38694.00;16070.00;3577.00;0.87;0.71;0.61;0.76;0.56
47;SVM;17.38;208;25093.00;49168.00;3976.00;4963.00;0.83;0.93;0.86;0.89;0.74
49;SVM;17.85;208;25311.00;44059.00;8212.00;5618.00;0.82;0.84;0.76;0.83;0.65
63;SVM;18.24;208;6847.00;67160.00;1746.00;7447.00;0.48;0.97;0.80;0.89;0.43
81;SVM;19.32;208;19775.00;55797.00;6252.00;1376.00;0.93;0.90;0.76;0.91;0.72
9;SVM;15.10;208;27713.00;34774.00;20566.00;147.00;0.99;0.63;0.57;0.75;0.57
90;SVM;14.90;208;34511.00;36453.00;3574.00;8662.00;0.80;0.91;0.91;0.85;0.74
91;SVM;15.14;208;29146.00;41992.00;6170.00;5892.00;0.83;0.87;0.83;0.86;0.71
98;SVM;15.13;208;40372.00;29437.00;11896.00;1495.00;0.96;0.71;0.77;0.84;0.75
99;SVM;15.42;208;28275.00;40273.00;9505.00;5147.00;0.85;0.81;0.75;0.82;0.66
