******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         208          18.66           26127.00        41026.00        12730.00         3317.00          0.89         0.76         0.67       0.81      0.62                
114         208          15.87           27670.00        43619.00        9664.00          2247.00          0.92         0.82         0.74       0.86      0.70                
14          208          16.16           42694.00        34348.00        3993.00          2165.00          0.95         0.90         0.91       0.93      0.87                
15          208          15.57           21822.00        42672.00        15894.00         2812.00          0.89         0.73         0.58       0.78      0.54                
17          208          15.60           20264.00        55876.00        4754.00          2306.00          0.90         0.92         0.81       0.92      0.74                
18          208          15.50           18478.00        57560.00        6133.00          1029.00          0.95         0.90         0.75       0.91      0.72                
26          208          15.76           32512.00        36394.00        12587.00         1707.00          0.95         0.74         0.72       0.83      0.69                
29          208          16.21           38726.00        30458.00        12821.00         1195.00          0.97         0.70         0.75       0.83      0.73                
31          208          16.09           25739.00        52562.00        4723.00          176.00           0.99         0.92         0.84       0.94      0.84                
33          208          17.26           31540.00        44081.00        4419.00          3160.00          0.91         0.91         0.88       0.91      0.81                
39          208          17.35           29187.00        38522.00        12028.00         3463.00          0.89         0.76         0.71       0.81      0.65                
43          208          17.69           24859.00        38694.00        16070.00         3577.00          0.87         0.71         0.61       0.76      0.56                
47          208          17.38           25093.00        49168.00        3976.00          4963.00          0.83         0.93         0.86       0.89      0.74                
49          208          17.85           25311.00        44059.00        8212.00          5618.00          0.82         0.84         0.76       0.83      0.65                
63          208          18.24           6847.00         67160.00        1746.00          7447.00          0.48         0.97         0.80       0.89      0.43                
81          208          19.32           19775.00        55797.00        6252.00          1376.00          0.93         0.90         0.76       0.91      0.72                
9           208          15.10           27713.00        34774.00        20566.00         147.00           0.99         0.63         0.57       0.75      0.57                
90          208          14.90           34511.00        36453.00        3574.00          8662.00          0.80         0.91         0.91       0.85      0.74                
91          208          15.14           29146.00        41992.00        6170.00          5892.00          0.83         0.87         0.83       0.86      0.71                
98          208          15.13           40372.00        29437.00        11896.00         1495.00          0.96         0.71         0.77       0.84      0.75                
99          208          15.42           28275.00        40273.00        9505.00          5147.00          0.85         0.81         0.75       0.82      0.66                
            
MEAN:       208.00       16.49           27460.05        43567.86        8938.71          3233.38          0.89         0.83         0.76       0.85      0.69                
STD:        0.00         1.28            7850.16         9441.46         4903.43          2253.64          0.11         0.09         0.09       0.05      0.10                



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         208          19.51           22813.00        53726.00        30.00            6631.00          0.77         1.00         1.00       0.92      0.77                
114         208          16.49           28543.00        52858.00        425.00           1374.00          0.95         0.99         0.99       0.98      0.94                
14          208          16.91           43652.00        37826.00        515.00           1207.00          0.97         0.99         0.99       0.98      0.96                
15          208          16.21           22795.00        55766.00        2800.00          1839.00          0.93         0.95         0.89       0.94      0.83                
17          208          16.04           21113.00        59691.00        939.00           1457.00          0.94         0.98         0.96       0.97      0.90                
18          208          15.92           18865.00        63288.00        405.00           642.00           0.97         0.99         0.98       0.99      0.95                
26          208          16.48           32598.00        48696.00        285.00           1621.00          0.95         0.99         0.99       0.98      0.94                
29          208          17.10           36048.00        41153.00        2126.00          3873.00          0.90         0.95         0.94       0.93      0.86                
31          208          16.61           25447.00        57083.00        202.00           468.00           0.98         1.00         0.99       0.99      0.97                
33          208          17.86           33487.00        48072.00        428.00           1213.00          0.97         0.99         0.99       0.98      0.95                
39          208          18.09           28642.00        50214.00        336.00           4008.00          0.88         0.99         0.99       0.95      0.87                
43          208          18.41           26367.00        54336.00        428.00           2069.00          0.93         0.99         0.98       0.97      0.91                
47          208          17.97           26374.00        53096.00        48.00            3682.00          0.88         1.00         1.00       0.96      0.88                
49          208          18.46           25152.00        52266.00        5.00             5777.00          0.81         1.00         1.00       0.93      0.81                
63          208          18.54           5163.00         68900.00        6.00             9131.00          0.36         1.00         1.00       0.89      0.36                
81          208          19.79           19221.00        61816.00        233.00           1930.00          0.91         1.00         0.99       0.97      0.90                
9           208          15.69           27219.00        52981.00        2359.00          641.00           0.98         0.96         0.92       0.96      0.90                
90          208          15.51           40306.00        39972.00        55.00            2867.00          0.93         1.00         1.00       0.96      0.93                
91          208          15.73           31899.00        47929.00        233.00           3139.00          0.91         1.00         0.99       0.96      0.90                
98          208          15.96           37762.00        40888.00        445.00           4105.00          0.90         0.99         0.99       0.95      0.89                
99          208          16.04           26150.00        49116.00        662.00           7272.00          0.78         0.99         0.98       0.90      0.77                
            
MEAN:       208.00       17.11           27600.76        51889.19        617.38           3092.67          0.89         0.99         0.98       0.96      0.87                
STD:        0.00         1.28            8245.48         7748.54         779.63           2332.85          0.13         0.01         0.03       0.03      0.13                

