img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;GRAB;12.36;209;23906.00;53476.00;280.00;5538.00;0.81;0.99;0.99;0.93;0.80
114;GRAB;9.29;209;25775.00;52699.00;584.00;4142.00;0.86;0.99;0.98;0.94;0.85
14;GRAB;9.46;214;43903.00;37835.00;506.00;956.00;0.98;0.99;0.99;0.98;0.97
15;GRAB;9.00;209;23959.00;55649.00;2917.00;675.00;0.97;0.95;0.89;0.96;0.87
17;GRAB;9.30;211;21932.00;59609.00;1021.00;638.00;0.97;0.98;0.96;0.98;0.93
18;GRAB;9.21;214;18849.00;63150.00;543.00;658.00;0.97;0.99;0.97;0.99;0.94
26;GRAB;9.42;211;31882.00;48823.00;158.00;2337.00;0.93;1.00;1.00;0.97;0.93
29;GRAB;10.41;219;35998.00;42452.00;827.00;3923.00;0.90;0.98;0.98;0.94;0.88
31;GRAB;10.02;212;25237.00;57108.00;177.00;678.00;0.97;1.00;0.99;0.99;0.97
33;GRAB;9.68;212;33335.00;48162.00;338.00;1365.00;0.96;0.99;0.99;0.98;0.95
39;GRAB;10.35;210;31998.00;46889.00;3661.00;652.00;0.98;0.93;0.90;0.95;0.88
43;GRAB;10.72;210;26316.00;54443.00;321.00;2120.00;0.93;0.99;0.99;0.97;0.92
47;GRAB;11.03;217;27654.00;52884.00;260.00;2402.00;0.92;1.00;0.99;0.97;0.91
49;GRAB;10.69;209;27212.00;52052.00;219.00;3717.00;0.88;1.00;0.99;0.95;0.87
63;GRAB;10.19;209;7897.00;68585.00;321.00;6397.00;0.55;1.00;0.96;0.92;0.54
81;GRAB;10.46;208;19524.00;61773.00;276.00;1627.00;0.92;1.00;0.99;0.98;0.91
9;GRAB;14.77;208;27124.00;52281.00;3059.00;736.00;0.97;0.94;0.90;0.95;0.88
90;GRAB;10.40;213;40789.00;40008.00;19.00;2384.00;0.94;1.00;1.00;0.97;0.94
91;GRAB;9.41;215;32940.00;47983.00;179.00;2098.00;0.94;1.00;0.99;0.97;0.94
98;GRAB;9.72;215;38224.00;40960.00;373.00;3643.00;0.91;0.99;0.99;0.95;0.90
99;GRAB;9.61;214;28395.00;48839.00;939.00;5027.00;0.85;0.98;0.97;0.93;0.83
