img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;11.52;209;20575.00;43715.00;10041.00;8869.00;0.70;0.81;0.67;0.77;0.52
114;SVM;8.81;209;21525.00;41490.00;11793.00;8392.00;0.72;0.78;0.65;0.76;0.52
14;SVM;8.86;214;42364.00;34952.00;3389.00;2495.00;0.94;0.91;0.93;0.93;0.88
15;SVM;8.44;209;23539.00;45039.00;13527.00;1095.00;0.96;0.77;0.64;0.82;0.62
17;SVM;8.81;211;19386.00;55833.00;4797.00;3184.00;0.86;0.92;0.80;0.90;0.71
18;SVM;8.78;214;16903.00;58945.00;4748.00;2604.00;0.87;0.93;0.78;0.91;0.70
26;SVM;8.77;211;31486.00;39977.00;9004.00;2733.00;0.92;0.82;0.78;0.86;0.73
29;SVM;9.25;219;37115.00;29307.00;13972.00;2806.00;0.93;0.68;0.73;0.80;0.69
31;SVM;9.52;212;24092.00;54789.00;2496.00;1823.00;0.93;0.96;0.91;0.95;0.85
33;SVM;9.05;212;32707.00;44158.00;4342.00;1993.00;0.94;0.91;0.88;0.92;0.84
39;SVM;9.54;210;29495.00;34828.00;15722.00;3155.00;0.90;0.69;0.65;0.77;0.61
43;SVM;10.11;210;24285.00;47765.00;6999.00;4151.00;0.85;0.87;0.78;0.87;0.69
47;SVM;10.51;217;23369.00;47713.00;5431.00;6687.00;0.78;0.90;0.81;0.85;0.66
49;SVM;10.02;209;25491.00;41249.00;11022.00;5438.00;0.82;0.79;0.70;0.80;0.61
63;SVM;9.79;209;7128.00;67251.00;1655.00;7166.00;0.50;0.98;0.81;0.89;0.45
81;SVM;9.98;208;19894.00;54465.00;7584.00;1257.00;0.94;0.88;0.72;0.89;0.69
9;SVM;13.98;208;27129.00;33418.00;21922.00;731.00;0.97;0.60;0.55;0.73;0.54
90;SVM;9.73;213;40137.00;36707.00;3320.00;3036.00;0.93;0.92;0.92;0.92;0.86
91;SVM;8.97;215;28160.00;41016.00;7146.00;6878.00;0.80;0.85;0.80;0.83;0.67
98;SVM;8.99;215;40174.00;32513.00;8820.00;1693.00;0.96;0.79;0.82;0.87;0.79
99;SVM;8.99;214;29449.00;41608.00;8170.00;3973.00;0.88;0.84;0.78;0.85;0.71
