******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         209          11.52           20575.00        43715.00        10041.00         8869.00          0.70         0.81         0.67       0.77      0.52                
114         209          8.81            21525.00        41490.00        11793.00         8392.00          0.72         0.78         0.65       0.76      0.52                
14          214          8.86            42364.00        34952.00        3389.00          2495.00          0.94         0.91         0.93       0.93      0.88                
15          209          8.44            23539.00        45039.00        13527.00         1095.00          0.96         0.77         0.64       0.82      0.62                
17          211          8.81            19386.00        55833.00        4797.00          3184.00          0.86         0.92         0.80       0.90      0.71                
18          214          8.78            16903.00        58945.00        4748.00          2604.00          0.87         0.93         0.78       0.91      0.70                
26          211          8.77            31486.00        39977.00        9004.00          2733.00          0.92         0.82         0.78       0.86      0.73                
29          219          9.25            37115.00        29307.00        13972.00         2806.00          0.93         0.68         0.73       0.80      0.69                
31          212          9.52            24092.00        54789.00        2496.00          1823.00          0.93         0.96         0.91       0.95      0.85                
33          212          9.05            32707.00        44158.00        4342.00          1993.00          0.94         0.91         0.88       0.92      0.84                
39          210          9.54            29495.00        34828.00        15722.00         3155.00          0.90         0.69         0.65       0.77      0.61                
43          210          10.11           24285.00        47765.00        6999.00          4151.00          0.85         0.87         0.78       0.87      0.69                
47          217          10.51           23369.00        47713.00        5431.00          6687.00          0.78         0.90         0.81       0.85      0.66                
49          209          10.02           25491.00        41249.00        11022.00         5438.00          0.82         0.79         0.70       0.80      0.61                
63          209          9.79            7128.00         67251.00        1655.00          7166.00          0.50         0.98         0.81       0.89      0.45                
81          208          9.98            19894.00        54465.00        7584.00          1257.00          0.94         0.88         0.72       0.89      0.69                
9           208          13.98           27129.00        33418.00        21922.00         731.00           0.97         0.60         0.55       0.73      0.54                
90          213          9.73            40137.00        36707.00        3320.00          3036.00          0.93         0.92         0.92       0.92      0.86                
91          215          8.97            28160.00        41016.00        7146.00          6878.00          0.80         0.85         0.80       0.83      0.67                
98          215          8.99            40174.00        32513.00        8820.00          1693.00          0.96         0.79         0.82       0.87      0.79                
99          214          8.99            29449.00        41608.00        8170.00          3973.00          0.88         0.84         0.78       0.85      0.71                
            
MEAN:       211.81       9.64            26876.33        44130.38        8376.19          3817.10          0.86         0.84         0.77       0.85      0.68                
STD:        3.02         1.20            8367.44         9467.65         4891.80          2392.50          0.11         0.09         0.10       0.06      0.12                



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         209          12.36           23906.00        53476.00        280.00           5538.00          0.81         0.99         0.99       0.93      0.80                
114         209          9.29            25775.00        52699.00        584.00           4142.00          0.86         0.99         0.98       0.94      0.85                
14          214          9.46            43903.00        37835.00        506.00           956.00           0.98         0.99         0.99       0.98      0.97                
15          209          9.00            23959.00        55649.00        2917.00          675.00           0.97         0.95         0.89       0.96      0.87                
17          211          9.30            21932.00        59609.00        1021.00          638.00           0.97         0.98         0.96       0.98      0.93                
18          214          9.21            18849.00        63150.00        543.00           658.00           0.97         0.99         0.97       0.99      0.94                
26          211          9.42            31882.00        48823.00        158.00           2337.00          0.93         1.00         1.00       0.97      0.93                
29          219          10.41           35998.00        42452.00        827.00           3923.00          0.90         0.98         0.98       0.94      0.88                
31          212          10.02           25237.00        57108.00        177.00           678.00           0.97         1.00         0.99       0.99      0.97                
33          212          9.68            33335.00        48162.00        338.00           1365.00          0.96         0.99         0.99       0.98      0.95                
39          210          10.35           31998.00        46889.00        3661.00          652.00           0.98         0.93         0.90       0.95      0.88                
43          210          10.72           26316.00        54443.00        321.00           2120.00          0.93         0.99         0.99       0.97      0.92                
47          217          11.03           27654.00        52884.00        260.00           2402.00          0.92         1.00         0.99       0.97      0.91                
49          209          10.69           27212.00        52052.00        219.00           3717.00          0.88         1.00         0.99       0.95      0.87                
63          209          10.19           7897.00         68585.00        321.00           6397.00          0.55         1.00         0.96       0.92      0.54                
81          208          10.46           19524.00        61773.00        276.00           1627.00          0.92         1.00         0.99       0.98      0.91                
9           208          14.77           27124.00        52281.00        3059.00          736.00           0.97         0.94         0.90       0.95      0.88                
90          213          10.40           40789.00        40008.00        19.00            2384.00          0.94         1.00         1.00       0.97      0.94                
91          215          9.41            32940.00        47983.00        179.00           2098.00          0.94         1.00         0.99       0.97      0.94                
98          215          9.72            38224.00        40960.00        373.00           3643.00          0.91         0.99         0.99       0.95      0.90                
99          214          9.61            28395.00        48839.00        939.00           5027.00          0.85         0.98         0.97       0.93      0.83                
            
MEAN:       211.81       10.26           28230.90        51698.10        808.48           2462.52          0.91         0.98         0.97       0.96      0.89                
STD:        3.02         1.26            7911.63         7666.75         1020.30          1733.53          0.09         0.02         0.03       0.02      0.09                

